File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_ASC_n40_R1000_H100_h80_dev0.15_d0.5,527.937,15728.7,9,12791,1
RKP_ASC_n40_R1000_H100_h80_dev0.15_d1,204.274,16450.8,12,6381,1
RKP_ASC_n40_R1000_H100_h80_dev0.1_d0.1,276.142,17566.9,9,7563,1
RKP_ASC_n40_R1000_H100_h80_dev0.1_d0.5,524.184,19058.5,7,10732,1
RKP_ASC_n40_R1000_H100_h80_dev0.1_d1,81.0329,18658.2,10,3752,1
RKP_ASC_n40_R1000_H100_h80_dev0.2_d0.1,603.087,12696.2,15,13479,1
RKP_ASC_n40_R1000_H100_h80_dev0.2_d0.5,616.348,16350.9,14,11891,1
RKP_ASC_n40_R1000_H100_h80_dev0.2_d1,5151.38,15372.7,14,37151,1
RKP_SC_n40_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,8522.58,16,62234,0
RKP_SC_n40_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,8834,1,61472,0
RKP_SC_n40_R1000_H100_h40_dev0.15_d1,TIME_LIMIT,8150.3,14,58479,0
RKP_SC_n40_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,9197,1,46769,0
RKP_SC_n40_R1000_H100_h40_dev0.1_d0.5,6623.58,8830.96,6,36080,1
RKP_SC_n40_R1000_H100_h40_dev0.1_d1,343.48,8898.05,7,9419,1
RKP_SC_n40_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,7847.7,18,54931,0
RKP_SC_n40_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,8374.9,16,62941,0
RKP_SC_n40_R1000_H100_h40_dev0.2_d1,894.357,9404.14,10,16973,1
RKP_SC_n40_R1000_H100_h80_dev0.15_d0.1,722.565,16174.2,13,14453,1
RKP_SC_n40_R1000_H100_h80_dev0.15_d0.5,521.738,16345.5,11,12919,1
RKP_SC_n40_R1000_H100_h80_dev0.15_d1,3417.31,19421.5,11,32689,1
RKP_SC_n40_R1000_H100_h80_dev0.1_d0.1,275.894,18060.8,7,8790,1
RKP_SC_n40_R1000_H100_h80_dev0.1_d0.5,217.562,20281,8,7084,1
RKP_SC_n40_R1000_H100_h80_dev0.1_d1,259.554,18283.5,10,6290,1
RKP_SC_n40_R1000_H100_h80_dev0.2_d0.1,TIME_LIMIT,15894.8,13,62126,0
RKP_SC_n40_R1000_H100_h80_dev0.2_d0.5,2287.21,16996.3,14,27132,1
RKP_SC_n40_R1000_H100_h80_dev0.2_d1,TIME_LIMIT,18065.6,15,57238,0
RKP_UN_n40_R1000_H100_h40_dev0.15_d0.1,4.95467,12216.3,18,816,1
RKP_UN_n40_R1000_H100_h40_dev0.15_d0.5,11.7539,9208.61,10,1437,1
RKP_UN_n40_R1000_H100_h40_dev0.15_d1,2.60971,12054,1,459,1
RKP_UN_n40_R1000_H100_h40_dev0.1_d0.1,3.50158,13226.3,11,570,1
RKP_UN_n40_R1000_H100_h40_dev0.1_d0.5,4.14291,11494.4,10,590,1
RKP_UN_n40_R1000_H100_h40_dev0.1_d1,5.09018,13141.4,6,772,1
RKP_UN_n40_R1000_H100_h40_dev0.2_d0.1,0.447189,12154,1,90,1
RKP_UN_n40_R1000_H100_h40_dev0.2_d0.5,6.12587,13210,1,901,1
RKP_UN_n40_R1000_H100_h40_dev0.2_d1,6.0485,11956.3,15,865,1
RKP_UN_n40_R1000_H100_h80_dev0.15_d0.1,1.435,15431.1,16,164,1
RKP_UN_n40_R1000_H100_h80_dev0.15_d0.5,1.00105,18443.5,23,89,1
RKP_UN_n40_R1000_H100_h80_dev0.15_d1,1.44753,17408.5,20,184,1
RKP_UN_n40_R1000_H100_h80_dev0.1_d0.1,1.74237,19066.7,16,175,1
RKP_UN_n40_R1000_H100_h80_dev0.1_d0.5,2.93533,19103.9,11,227,1
RKP_UN_n40_R1000_H100_h80_dev0.1_d1,0.958575,15575.6,13,95,1
RKP_UN_n40_R1000_H100_h80_dev0.2_d0.1,2.61468,16906,15,268,1
RKP_UN_n40_R1000_H100_h80_dev0.2_d0.5,0.631971,16883.1,17,98,1
RKP_UN_n40_R1000_H100_h80_dev0.2_d1,4.663,16821.8,23,509,1
RKP_WC_n40_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,6905.06,14,69900,0
RKP_WC_n40_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,6919.86,12,75002,0
RKP_WC_n40_R1000_H100_h40_dev0.15_d1,TIME_LIMIT,7700.62,15,69803,0
RKP_WC_n40_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,6436.05,10,65958,0
RKP_WC_n40_R1000_H100_h40_dev0.1_d0.5,TIME_LIMIT,6937.83,12,65735,0
RKP_WC_n40_R1000_H100_h40_dev0.1_d1,1183.15,7152.51,12,18883,1
RKP_WC_n40_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,5778.04,17,72849,0
RKP_WC_n40_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,6119,1,75303,0
RKP_WC_n40_R1000_H100_h40_dev0.2_d1,49.6823,7706,1,4267,1
RKP_WC_n40_R1000_H100_h80_dev0.15_d0.1,TIME_LIMIT,13382.2,15,59363,0
RKP_WC_n40_R1000_H100_h80_dev0.15_d0.5,5508.59,12082.6,14,42495,1
RKP_WC_n40_R1000_H100_h80_dev0.15_d1,58.65,11111.8,16,3874,1
RKP_WC_n40_R1000_H100_h80_dev0.1_d0.1,316.69,15389,10,8943,1
RKP_WC_n40_R1000_H100_h80_dev0.1_d0.5,894.835,16987.7,9,15971,1
